entry_key,person_key,name_last,name_first,name_given,birth_date,death_date
findagrave/1018,,Geiger,Gary,Gary Wayne,1964-10-30,2012-06-28
findagrave/1019,,Jones,Kevin,Kevin Don,1968-03-23,2012-09-20
findagrave/1020,,Hankins,William,William Rush,1913-07-28,1967-07-25
findagrave/1021,,Holland,,Joseph Gordon,1884-12-08,1955-12-08
findagrave/1022,,Kluttz,,Alvin Clifton,1922-01-13,1985-05-26
findagrave/1023,,Alton,Stewart,Stewart John,1930-01-16,2009-12-26
findagrave/1024,,DeGeer,Bill,Bill B.,1928-04-18,2010-12-24
findagrave/1025,,Priest,,Morey Jordan,1891-11-25,1934-07-27
findagrave/1026,,Fleharty,Earl,Earl L.,1886,1956-03-22
findagrave/1027,,Reed,George,George Miles,1870-09-13,1947-05-13
findagrave/1028,,Rougeux,,Walter Louis,1922-05-09,1945-05-12
